show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s20,tv show,jaguar,not given,pakistan,2021-09-22,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|spanish-language tv shows|tv action & adventure
s32,tv show,chicago party aunt,not given,pakistan,2021-09-17,1970-01-01 00:00:00.000002021,tv-ma,1 season,tv comedies
s34,tv show,squid game,not given,pakistan,2021-09-17,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|tv dramas|tv thrillers
s35,tv show,tayo and little wizards,not given,pakistan,2021-09-17,1970-01-01 00:00:00.000002020,tv-y7,1 season,kids' tv
s75,tv show,the world's most amazing vacation rentals,not given,pakistan,2021-09-14,1970-01-01 00:00:00.000002021,tv-pg,2 seasons,reality tv
s84,tv show,metal shop masters,not given,pakistan,2021-09-10,1970-01-01 00:00:00.000002021,tv-ma,1 season,reality tv
s86,tv show,pokémon master journeys: the series,not given,pakistan,2021-09-10,1970-01-01 00:00:00.000002021,tv-y7,1 season,anime series|kids' tv
s88,tv show,titipo titipo,not given,pakistan,2021-09-10,1970-01-01 00:00:00.000002019,tv-y,2 seasons,kids' tv|korean tv shows
s90,tv show,mighty raju,not given,pakistan,2021-09-09,1970-01-01 00:00:00.000002017,tv-y7,4 seasons,kids' tv
s101,tv show,tobot galaxy detectives,not given,pakistan,2021-09-07,1970-01-01 00:00:00.000002019,tv-y7,2 seasons,kids' tv
s122,tv show,hotel del luna,not given,pakistan,2021-09-02,1970-01-01 00:00:00.000002019,tv-14,1 season,international tv shows|romantic tv shows|tv comedies
s133,tv show,brave animated series,not given,pakistan,2021-09-01,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|tv action & adventure|tv comedies
s148,tv show,how to be a cowboy,not given,pakistan,2021-09-01,1970-01-01 00:00:00.000002021,tv-pg,1 season,reality tv
s166,tv show,oldsters,not given,pakistan,2021-09-01,1970-01-01 00:00:00.000002019,tv-ma,1 season,crime tv shows|international tv shows|spanish-language tv shows
s190,tv show,bread barbershop,not given,pakistan,2021-08-28,1970-01-01 00:00:00.000002020,tv-y,2 seasons,kids' tv|tv comedies
s182,tv show,turning point: 9/11 and the war on terror,not given,pakistan,2021-09-01,1970-01-01 00:00:00.000002021,tv-14,1 season,docuseries
s187,tv show,hometown cha-cha-cha,not given,pakistan,2021-08-29,1970-01-01 00:00:00.000002021,tv-14,1 season,international tv shows|romantic tv shows|tv comedies
s188,tv show,the ingenuity of the househusband,not given,pakistan,2021-08-29,1970-01-01 00:00:00.000002021,tv-g,1 season,international tv shows|tv comedies
s27,movie,minsara kanavu,rajiv menon,india,2021-09-21,1970-01-01 00:00:00.000001997,tv-pg,147 min,comedies|international movies|music & musicals
s19,movie,intrusion,adam salky,not given,2021-09-22,1970-01-01 00:00:00.000002021,tv-14,94 min,thrillers
s23,movie,avvai shanmughi,k.s. ravikumar,not given,2021-09-21,1970-01-01 00:00:00.000001996,tv-pg,161 min,comedies|international movies
s31,movie,ankahi kahaniya,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary",not given,2021-09-17,1970-01-01 00:00:00.000002021,tv-14,111 min,dramas|independent movies|international movies
s36,movie,the father who moves mountains,daniel sandu,not given,2021-09-17,1970-01-01 00:00:00.000002021,tv-ma,110 min,dramas|international movies|thrillers
s37,movie,the stronghold,cédric jimenez,not given,2021-09-17,1970-01-01 00:00:00.000002021,tv-ma,105 min,action & adventure|dramas|international movies
s39,movie,birth of the dragon,george nolfi,china,2021-09-16,1970-01-01 00:00:00.000002017,pg-13,96 min,action & adventure|dramas
s48,tv show,the smart money woman,bunmi ajakaiye,south africa,2021-09-16,1970-01-01 00:00:00.000002020,tv-ma,1 season,international tv shows|romantic tv shows|tv comedies
s76,movie,you vs. wild: out cold,ben simms,united states,2021-09-14,1970-01-01 00:00:00.000002021,tv-g,106 min,children & family movies
s42,movie,jaws,steven spielberg,united states,2021-09-16,1970-01-01 00:00:00.000001975,pg,124 min,action & adventure|classic movies|dramas
s43,movie,jaws 2,jeannot szwarc,united states,2021-09-16,1970-01-01 00:00:00.000001978,pg,116 min,dramas|horror movies|thrillers
s44,movie,jaws 3,joe alves,united states,2021-09-16,1970-01-01 00:00:00.000001983,pg,98 min,action & adventure|horror movies|thrillers
s45,movie,jaws: the revenge,joseph sargent,united states,2021-09-16,1970-01-01 00:00:00.000001987,pg-13,91 min,action & adventure|horror movies|thrillers
s47,movie,safe house,daniel espinosa,south africa,2021-09-16,1970-01-01 00:00:00.000002012,r,115 min,action & adventure
s49,movie,training day,antoine fuqua,united states,2021-09-16,1970-01-01 00:00:00.000002001,r,122 min,dramas|thrillers
s1093,movie,dolly parton: a musicares tribute,not given,pakistan,2021-04-07,1970-01-01 00:00:00.000002021,tv-pg,55 min,documentaries|music & musicals
s195,tv show,deadly sins,not given,pakistan,2021-08-27,1970-01-01 00:00:00.000002002,tv-ma,1 season,international tv shows|spanish-language tv shows|tv dramas
s52,movie,inuyasha the movie 2: the castle beyond the looking glass,toshiya shinohara,japan,2021-09-15,1970-01-01 00:00:00.000002002,tv-14,99 min,action & adventure|anime features|international movies
s53,movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,japan,2021-09-15,1970-01-01 00:00:00.000002003,tv-14,99 min,action & adventure|anime features|international movies
s54,movie,inuyasha the movie 4: fire on the mystic island,toshiya shinohara,japan,2021-09-15,1970-01-01 00:00:00.000002004,tv-pg,88 min,action & adventure|anime features|international movies
s55,movie,inuyasha the movie: affections touching across time,toshiya shinohara,japan,2021-09-15,1970-01-01 00:00:00.000002001,tv-pg,100 min,action & adventure|anime features|international movies
s198,tv show,i heart arlo,not given,pakistan,2021-08-27,1970-01-01 00:00:00.000002021,tv-y7,1 season,kids' tv|tv comedies
s56,tv show,nailed it,not given,united states,2021-09-15,1970-01-01 00:00:00.000002021,tv-pg,6 seasons,reality tv
s498,tv show,cat people,not given,pakistan,2021-07-07,1970-01-01 00:00:00.000002021,tv-14,1 season,docuseries
s214,tv show,ride on time,not given,pakistan,2021-08-27,1970-01-01 00:00:00.000002021,tv-pg,3 seasons,docuseries|international tv shows
s219,tv show,titletown high,not given,pakistan,2021-08-27,1970-01-01 00:00:00.000002021,tv-14,1 season,reality tv|teen tv shows
s225,tv show,motel makeover,not given,pakistan,2021-08-25,1970-01-01 00:00:00.000002021,tv-14,1 season,international tv shows|reality tv
s226,tv show,open your eyes,not given,pakistan,2021-08-25,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|tv dramas|tv mysteries
s227,tv show,post mortem: no one dies in skarnes,not given,pakistan,2021-08-25,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|tv comedies|tv dramas
s46,movie,my heroes were cowboys,tyler greco,not given,2021-09-16,1970-01-01 00:00:00.000002021,pg,23 min,documentaries
s57,movie,naruto shippuden the movie: blood prison,masahiko murata,japan,2021-09-15,1970-01-01 00:00:00.000002011,tv-14,102 min,action & adventure|anime features|international movies
s58,movie,naruto shippûden the movie: bonds,hajime kamegaki,japan,2021-09-15,1970-01-01 00:00:00.000002008,tv-pg,93 min,action & adventure|anime features|international movies
s59,movie,naruto shippûden the movie: the will of fire,masahiko murata,japan,2021-09-15,1970-01-01 00:00:00.000002009,tv-pg,96 min,action & adventure|anime features|international movies
s60,movie,naruto shippuden: the movie,hajime kamegaki,japan,2021-09-15,1970-01-01 00:00:00.000002007,tv-pg,95 min,action & adventure|anime features|international movies
s61,movie,naruto shippuden: the movie: the lost tower,masahiko murata,japan,2021-09-15,1970-01-01 00:00:00.000002010,tv-14,85 min,action & adventure|anime features|international movies
s62,movie,naruto the movie 2: legend of the stone of gelel,hirotsugu kawasaki,japan,2021-09-15,1970-01-01 00:00:00.000002005,tv-pg,97 min,action & adventure|anime features|international movies
s63,movie,naruto the movie 3: guardians of the crescent moon kingdom,toshiyuki tsuru,japan,2021-09-15,1970-01-01 00:00:00.000002006,tv-pg,95 min,action & adventure|anime features|international movies
s64,movie,naruto the movie: ninja clash in the land of snow,tensai okamura,japan,2021-09-15,1970-01-01 00:00:00.000002004,tv-pg,83 min,action & adventure|anime features|international movies
s243,tv show,comedy premium league,not given,pakistan,2021-08-20,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|tv comedies
s244,tv show,everything will be fine,not given,pakistan,2021-08-20,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|spanish-language tv shows|tv comedies
s246,tv show,korean cold noodle rhapsody,not given,pakistan,2021-08-20,1970-01-01 00:00:00.000002021,tv-pg,1 season,docuseries|international tv shows
s249,tv show,the chair,not given,pakistan,2021-08-20,1970-01-01 00:00:00.000002021,tv-ma,1 season,tv comedies|tv dramas
s261,tv show,the defeated,not given,pakistan,2021-08-18,1970-01-01 00:00:00.000002020,tv-ma,1 season,crime tv shows|international tv shows|tv dramas
s310,tv show,car masters: rust to riches,not given,pakistan,2021-08-04,1970-01-01 00:00:00.000002021,tv-pg,3 seasons,reality tv
s74,movie,king of boys,kemi adetiba,nigeria,2021-09-14,1970-01-01 00:00:00.000002018,tv-ma,182 min,dramas|international movies
s321,tv show,top secret ufo projects: declassified,not given,pakistan,2021-08-03,1970-01-01 00:00:00.000002021,tv-pg,1 season,docuseries
s337,tv show,friday night lights,not given,pakistan,2021-08-01,1970-01-01 00:00:00.000002010,tv-14,5 seasons,tv dramas|teen tv shows
s365,tv show,centaurworld,not given,pakistan,2021-07-30,1970-01-01 00:00:00.000002021,tv-y7,1 season,kids' tv|tv comedies
s369,tv show,khawatir,not given,pakistan,2021-07-30,1970-01-01 00:00:00.000002009,tv-14,1 season,international tv shows|reality tv
s370,tv show,myth & mogul: john delorean,not given,pakistan,2021-07-30,1970-01-01 00:00:00.000002021,tv-14,1 season,british tv shows|crime tv shows|docuseries
s377,tv show,transformers: war for cybertron: kingdom,not given,pakistan,2021-07-29,1970-01-01 00:00:00.000002021,tv-y7,1 season,anime series
s380,tv show,tattoo redo,not given,pakistan,2021-07-28,1970-01-01 00:00:00.000002021,tv-ma,1 season,reality tv
s382,tv show,the snitch cartel: origins,not given,pakistan,2021-07-28,1970-01-01 00:00:00.000002021,tv-ma,1 season,crime tv shows|international tv shows|spanish-language tv shows
s398,tv show,feels like ishq,not given,pakistan,2021-07-23,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|romantic tv shows|tv comedies
s483,tv show,how to become a tyrant,not given,pakistan,2021-07-09,1970-01-01 00:00:00.000002021,tv-ma,1 season,docuseries
s82,movie,kate,cedric nicolas-troyan,united states,2021-09-10,1970-01-01 00:00:00.000002021,r,106 min,action & adventure
s85,movie,omo ghetto: the saga,"jjc skillz, funke akindele",nigeria,2021-09-10,1970-01-01 00:00:00.000002020,tv-ma,147 min,action & adventure|comedies|dramas
s87,movie,prey,thomas sieben,germany,2021-09-10,1970-01-01 00:00:00.000002021,tv-ma,87 min,international movies|thrillers
s401,tv show,revelations: the masters of the universe: revelation aftershow,not given,pakistan,2021-07-23,1970-01-01 00:00:00.000002021,tv-pg,1 season,anime series|stand-up comedy & talk shows
s405,movie,9to5: the story of a movement,not given,pakistan,2021-07-22,1970-01-01 00:00:00.000002021,tv-ma,85 min,documentaries
s91,movie,paradise hills,alice waddington,spain,2021-09-09,1970-01-01 00:00:00.000002019,tv-ma,95 min,sci-fi & fantasy|thrillers
s92,movie,the women and the murderer,"mona achache, patricia tourancheau",france,2021-09-09,1970-01-01 00:00:00.000002021,tv-14,92 min,documentaries|international movies
s431,tv show,sexy beasts,not given,pakistan,2021-07-21,1970-01-01 00:00:00.000002021,tv-14,1 season,british tv shows|international tv shows|reality tv
s95,movie,show dogs,raja gosnell,united kingdom,2021-09-08,1970-01-01 00:00:00.000002018,pg,90 min,children & family movies|comedies
s1071,movie,why did you kill me?,fredrick munk,united states,2021-04-14,1970-01-01 00:00:00.000002021,tv-ma,84 min,documentaries
s432,tv show,too hot to handle: brazil,not given,pakistan,2021-07-21,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|reality tv|romantic tv shows
s436,tv show,touch your heart,not given,pakistan,2021-07-20,1970-01-01 00:00:00.000002019,tv-ma,1 season,crime tv shows|international tv shows|romantic tv shows
s467,tv show,my unorthodox life,not given,pakistan,2021-07-14,1970-01-01 00:00:00.000002021,tv-ma,1 season,reality tv
s488,tv show,the cook of castamar,not given,pakistan,2021-07-09,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|romantic tv shows|spanish-language tv shows
s491,tv show,elize matsunaga: once upon a crime,not given,pakistan,2021-07-08,1970-01-01 00:00:00.000002021,tv-ma,1 season,crime tv shows|docuseries|international tv shows
s505,tv show,the war next-door,not given,pakistan,2021-07-07,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|spanish-language tv shows|tv comedies
s550,tv show,big timber,not given,pakistan,2021-07-02,1970-01-01 00:00:00.000002020,tv-14,1 season,international tv shows|reality tv
s572,tv show,generation 56k,not given,pakistan,2021-07-01,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|romantic tv shows|tv comedies
s591,tv show,sailor moon crystal,not given,pakistan,2021-07-01,1970-01-01 00:00:00.000002016,tv-y7,3 seasons,anime series|kids' tv
s640,tv show,godzilla singular point,not given,pakistan,2021-06-24,1970-01-01 00:00:00.000002021,tv-14,1 season,anime series|international tv shows
s642,movie,sisters on track,not given,pakistan,2021-06-24,1970-01-01 00:00:00.000002021,pg,97 min,documentaries|sports movies
s648,tv show,the parisian agency: exclusive properties,not given,pakistan,2021-06-23,1970-01-01 00:00:00.000002021,tv-g,1 season,international tv shows|reality tv
s78,movie,little singham - black shadow,prakash satam,not given,2021-09-11,1970-01-01 00:00:00.000002021,tv-y7,48 min,children & family movies|comedies
s81,movie,firedrake the silver dragon,tomer eshed,not given,2021-09-10,1970-01-01 00:00:00.000002021,tv-y7,93 min,children & family movies
s79,movie,tughlaq durbar,delhiprasad deenadayalan,not given,2021-09-11,1970-01-01 00:00:00.000002020,tv-14,145 min,comedies|dramas|international movies
s80,movie,tughlaq durbar (telugu),delhiprasad deenadayalan,not given,2021-09-11,1970-01-01 00:00:00.000002021,tv-14,145 min,comedies|dramas|international movies
s89,movie,blood brothers: malcolm x & muhammad ali,marcus clarke,not given,2021-09-09,1970-01-01 00:00:00.000002021,pg-13,96 min,documentaries|sports movies
s94,movie,jj+e,alexis almström,not given,2021-09-08,1970-01-01 00:00:00.000002021,tv-ma,91 min,dramas|international movies|romantic movies
s113,movie,worth,sara colangelo,united states,2021-09-03,1970-01-01 00:00:00.000002021,pg-13,119 min,dramas
s97,movie,if i leave here tomorrow: a film about lynyrd skynyrd,stephen kijak,united states,2021-09-07,1970-01-01 00:00:00.000002018,tv-ma,97 min,documentaries|music & musicals
s114,movie,afterlife of the party,stephen herek,united states,2021-09-02,1970-01-01 00:00:00.000002021,tv-pg,110 min,comedies|romantic movies
s654,tv show,this is pop,not given,pakistan,2021-06-22,1970-01-01 00:00:00.000002021,tv-ma,1 season,docuseries|international tv shows
s659,tv show,"nevertheless,",not given,pakistan,2021-06-20,1970-01-01 00:00:00.000002021,tv-14,1 season,international tv shows|romantic tv shows|tv dramas
s762,tv show,human: the world within,not given,pakistan,2021-06-04,1970-01-01 00:00:00.000002021,tv-pg,1 season,docuseries|science & nature tv
s102,movie,untold: breaking point,"chapman way, maclain way",united states,2021-09-07,1970-01-01 00:00:00.000002021,tv-ma,80 min,documentaries|sports movies
s664,tv show,charité at war,not given,pakistan,2021-06-19,1970-01-01 00:00:00.000002019,tv-ma,1 season,international tv shows|tv dramas
s106,movie,angamaly diaries,lijo jose pellissery,india,2021-09-05,1970-01-01 00:00:00.000002017,tv-14,128 min,action & adventure|comedies|dramas
s698,tv show,elite short stories: carla samuel,not given,pakistan,2021-06-17,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|romantic tv shows|spanish-language tv shows
s108,movie,a champion heart,david de vos,united states,2021-09-04,1970-01-01 00:00:00.000002018,g,90 min,children & family movies|dramas
s701,tv show,record of ragnarok,not given,pakistan,2021-06-17,1970-01-01 00:00:00.000002021,tv-ma,1 season,anime series|international tv shows
s707,tv show,elite short stories: omar ander alexis,not given,pakistan,2021-06-16,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|spanish-language tv shows|tv dramas
s711,tv show,penguin town,not given,pakistan,2021-06-16,1970-01-01 00:00:00.000002021,tv-pg,1 season,docuseries|science & nature tv
s115,movie,anjaam,rahul rawail,india,2021-09-02,1970-01-01 00:00:00.000001994,tv-14,143 min,dramas|international movies|thrillers
s715,tv show,beyond evil,not given,pakistan,2021-06-15,1970-01-01 00:00:00.000002021,tv-ma,1 season,crime tv shows|international tv shows|tv thrillers
s716,tv show,elite short stories: nadia guzmán,not given,pakistan,2021-06-15,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|romantic tv shows|spanish-language tv shows
s718,movie,headspace: unwind your mind,not given,pakistan,2021-06-15,1970-01-01 00:00:00.000002021,tv-g,273 min,documentaries
s721,tv show,rhyme time town,not given,pakistan,2021-06-15,1970-01-01 00:00:00.000002021,tv-y,2 seasons,kids' tv
s726,tv show,elite short stories: guzmán caye rebe,not given,pakistan,2021-06-14,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|spanish-language tv shows|tv dramas
s733,movie,to all the boys: always and forever - the afterparty,not given,pakistan,2021-06-12,1970-01-01 00:00:00.000002021,tv-ma,36 min,movies
s739,movie,trese after dark,not given,pakistan,2021-06-11,1970-01-01 00:00:00.000002021,tv-14,36 min,anime features|documentaries
s752,tv show,guru aur bhole,not given,pakistan,2021-06-08,1970-01-01 00:00:00.000002018,tv-y7,2 seasons,kids' tv|tv comedies
s843,tv show,high on the hog: how african american cuisine transformed america,not given,pakistan,2021-05-26,1970-01-01 00:00:00.000002021,tv-14,1 season,docuseries
s848,tv show,mad for each other,not given,pakistan,2021-05-24,1970-01-01 00:00:00.000002021,tv-ma,1 season,international tv shows|romantic tv shows|tv comedies
s850,movie,sam smith: love goes - live at abbey road studios,not given,pakistan,2021-05-22,1970-01-01 00:00:00.000002020,tv-g,61 min,international movies|music & musicals
s937,tv show,miniforce: super dino power,not given,pakistan,2021-05-01,1970-01-01 00:00:00.000002020,tv-y7,1 season,kids' tv
s928,tv show,barney and friends,not given,pakistan,2021-05-01,1970-01-01 00:00:00.000002010,tv-y,2 seasons,kids' tv
s958,tv show,pet stars,not given,pakistan,2021-04-30,1970-01-01 00:00:00.000002021,tv-pg,1 season,reality tv
s964,tv show,the unremarkable juanquini,not given,pakistan,2021-04-30,1970-01-01 00:00:00.000002021,tv-ma,2 seasons,international tv shows|spanish-language tv shows|tv comedies
s966,tv show,yasuke,not given,pakistan,2021-04-29,1970-01-01 00:00:00.000002021,tv-ma,1 season,anime series|international tv shows
s968,tv show,headspace guide to sleep,not given,pakistan,2021-04-28,1970-01-01 00:00:00.000002021,tv-g,1 season,docuseries|science & nature tv
s103,tv show,countdown: inspiration4 mission to space,jason hehir,not given,2021-09-06,1970-01-01 00:00:00.000002021,tv-14,1 season,docuseries|science & nature tv
s104,movie,shadow parties,yemi amodu,not given,2021-09-06,1970-01-01 00:00:00.000002020,tv-ma,117 min,dramas|international movies|thrillers
s111,tv show,money heist: from tokyo to berlin,"luis alfaro, javier gómez santander",not given,2021-09-03,1970-01-01 00:00:00.000002021,tv-ma,1 season,docuseries|international tv shows|spanish-language tv shows
s116,movie,bright star,jane campion,united kingdom,2021-09-02,1970-01-01 00:00:00.000002009,pg,119 min,dramas|romantic movies
s117,movie,dhanak,nagesh kukunoor,india,2021-09-02,1970-01-01 00:00:00.000002015,tv-pg,114 min,comedies|dramas|independent movies
s118,movie,final account,luke holland,united kingdom,2021-09-02,1970-01-01 00:00:00.000002021,pg-13,94 min,documentaries
s119,movie,gurgaon,shanker raman,india,2021-09-02,1970-01-01 00:00:00.000002017,tv-14,106 min,dramas|international movies|thrillers
s120,movie,here and there,jp habac,philippines,2021-09-02,1970-01-01 00:00:00.000002020,tv-ma,99 min,dramas|international movies|romantic movies
s129,movie,agatha christie's crooked house,gilles paquet-brenner,france,2021-09-01,1970-01-01 00:00:00.000002017,pg-13,115 min,dramas|international movies|thrillers
s123,movie,in the cut,jane campion,united kingdom,2021-09-02,1970-01-01 00:00:00.000002003,r,118 min,thrillers
s1006,movie,keymon and nani in space adventure,not given,pakistan,2021-04-20,1970-01-01 00:00:00.000002013,tv-y,76 min,children & family movies|comedies
s1011,movie,rudra: the rise of king pharaoh,not given,pakistan,2021-04-20,1970-01-01 00:00:00.000002019,tv-y7,91 min,children & family movies
s1026,tv show,bakugan: geogan rising,not given,pakistan,2021-04-16,1970-01-01 00:00:00.000002021,tv-y7,1 season,anime series|kids' tv
s127,movie,shikara,vidhu vinod chopra,india,2021-09-02,1970-01-01 00:00:00.000002020,tv-14,115 min,dramas|international movies|romantic movies
s128,movie,a cinderella story,mark rosman,united states,2021-09-01,1970-01-01 00:00:00.000002004,pg,95 min,children & family movies|comedies
s130,movie,an unfinished life,lasse hallström,germany,2021-09-01,1970-01-01 00:00:00.000002005,pg-13,108 min,dramas
s132,movie,blade runner: the final cut,ridley scott,united states,2021-09-01,1970-01-01 00:00:00.000001982,r,117 min,action & adventure|classic movies|cult movies
s1029,movie,dad stop embarrassing me - the afterparty,not given,pakistan,2021-04-16,1970-01-01 00:00:00.000002021,tv-14,37 min,comedies
s134,movie,chappie,neill blomkamp,south africa,2021-09-01,1970-01-01 00:00:00.000002015,r,121 min,action & adventure|sci-fi & fantasy
s153,movie,janoskians: untold and untrue,brett weiner,united states,2021-09-01,1970-01-01 00:00:00.000002016,tv-ma,88 min,comedies
s1039,tv show,dancing angels,not given,pakistan,2021-04-15,1970-01-01 00:00:00.000002016,tv-pg,1 season,international tv shows|romantic tv shows|tv comedies
s1083,tv show,don't be the first one,not given,pakistan,2021-04-11,1970-01-01 00:00:00.000002021,tv-14,1 season,international tv shows|reality tv
s1095,tv show,the wedding coach,not given,pakistan,2021-04-07,1970-01-01 00:00:00.000002021,tv-ma,1 season,reality tv|romantic tv shows
s1096,tv show,this is a robbery: the world's biggest art heist,not given,pakistan,2021-04-07,1970-01-01 00:00:00.000002021,tv-ma,1 season,crime tv shows|docuseries|tv mysteries
s1117,tv show,glimpses of a future,not given,pakistan,2021-04-01,1970-01-01 00:00:00.000002020,tv-pg,1 season,docuseries|international tv shows
s1181,tv show,alien tv,not given,pakistan,2021-03-19,1970-01-01 00:00:00.000002021,tv-y7,2 seasons,kids' tv|tv comedies
s1225,tv show,last chance u: basketball,not given,pakistan,2021-03-10,1970-01-01 00:00:00.000002021,tv-ma,1 season,docuseries
s1226,tv show,marriage or mortgage,not given,pakistan,2021-03-10,1970-01-01 00:00:00.000002021,tv-g,1 season,reality tv|romantic tv shows
s1236,tv show,pokémon journeys: the series,not given,pakistan,2021-03-05,1970-01-01 00:00:00.000002021,tv-y7,4 seasons,anime series|kids' tv|tv action & adventure
